"Flow_well","Temp_diff","Temp_diff_real","kW_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Long_dispersivity","Trans_dispersivity","Iso_width","Iso_distance","Area","Isotherm"
1118.9,5,5.01513193437,270.66,0.0015,0.058,4,5,2.5,11.4569320846,16.3575172568,179.656694641,4
1437.9,5,5.13784989554,347.825,0.0015,0.058,4,5,2.5,113.178812945,1667.90974556,152070.787047,1
1437.9,5,5.13784989554,347.825,0.0015,0.058,4,5,2.5,54.042811857,353.855291692,15546.8244365,2
1437.9,5,5.13784989554,347.825,0.0015,0.058,4,5,2.5,31.8856719285,114.308852887,3011.09632886,3
1437.9,5,5.13784989554,347.825,0.0015,0.058,4,5,2.5,17.3250686443,32.9182401999,509.405917341,4
1756.8,5,5.20934485426,424.967,0.0015,0.058,4,5,2.5,67.1012258226,539.084537589,29324.9703132,2
1756.8,5,5.20934485426,424.967,0.0015,0.058,4,5,2.5,40.6532039932,179.262369342,5943.0477584,3
1756.8,5,5.20934485426,424.967,0.0015,0.058,4,5,2.5,23.4101921257,55.1122372907,1111.92327983,4
1.7,5,3.04082555473,0.411,0.0015,0.00021,4,10,5,29.3288961888,57.4948259645,1473.42531298,1
1.7,5,3.04082555473,0.411,0.0015,0.00021,4,10,5,7.97046897681,7.7846786362,64.3321920069,2
3.5,5,3.94420253255,0.847,0.0015,0.00021,4,10,5,70.9709671647,266.104534873,15563.2153139,1
3.5,5,3.94420253255,0.847,0.0015,0.00021,4,10,5,27.2965502067,47.8928032121,1161.91175833,2
3.5,5,3.94420253255,0.847,0.0015,0.00021,4,10,5,10.6425120271,10.3252665149,116.842223858,3
5.3,5,4.38503310784,1.282,0.0015,0.00021,4,10,5,111.900532128,626.503832524,56955.8231881,1
5.3,5,4.38503310784,1.282,0.0015,0.00021,4,10,5,47.6020873222,121.383472225,4899.85159743,2
5.3,5,4.38503310784,1.282,0.0015,0.00021,4,10,5,22.8431059301,32.7230804597,700.870758015,3
7.2,5,4.64821435269,1.742,0.0015,0.00021,4,10,5,154.259934714,1168.13114822,145629.222908,1
7.2,5,4.64821435269,1.742,0.0015,0.00021,4,10,5,69.2525105352,236.338977796,13602.1917986,2
7.2,5,4.64821435269,1.742,0.0015,0.00021,4,10,5,36.3529432597,69.399600015,2237.32910048,3
7.2,5,4.64821435269,1.742,0.0015,0.00021,4,10,5,14.0388488274,13.7877624856,206.01492893,4
